date,peak_load_MW
2019-07-11,34564.059900166394
2019-07-12,35626.64473684211
2019-07-13,31349.603416717513
2019-07-14,30930.6742640076
2019-07-15,36259.222333001
2019-07-16,36928.98052691866
2019-07-17,37395.83333333333
2019-07-18,35911.97183098591
2019-07-19,35487.01809598741
2019-07-20,30615.95273264402
2019-07-21,29612.087912087914
2019-07-22,34482.63473053893
2019-07-23,34992.65785609398
2019-07-24,35575.56497175141
2019-07-25,35966.640806826996
2019-07-26,36526.710402999066
2019-07-27,31208.99007589025
2019-07-28,29651.271406331085
2019-07-29,35550.902527075814
2019-07-30,36636.93693693694
2019-07-31,36809.47680157946
2019-08-01,36481.04693140794
2019-08-02,35764.204545454544
2019-08-03,31049.154334038052
2019-08-04,31339.901477832515
2019-08-05,36707.47663551402
2019-08-06,36392.82990083905
2019-08-07,36076.45259938837
2019-08-08,36337.54208754208
2019-08-09,30736.563876651984
2019-08-10,31479.338842975205
2019-08-11,31061.572700296732
2019-08-12,34482.73809523809
2019-08-13,33895.149786019974
2019-08-14,36095.02664298402
2019-08-15,34275.62028047466
2019-08-16,34386.58328595793
2019-08-17,30428.898033836304
2019-08-18,28612.48253376805
2019-08-19,32950.90439276485
2019-08-20,33329.61190855928
2019-08-21,33541.99269692227
2019-08-22,34984.77157360406
2019-08-23,35148.01444043322
2019-08-24,28993.347193347192
2019-08-25,28989.915074309978
2019-08-26,35058.28421741978
2019-08-27,35599.393019726864
2019-08-28,36520.0713648528
2019-08-29,36376.68161434978
2019-08-30,34619.60542540074
2019-08-31,30636.86375321337
2019-09-01,29637.12076145152
2019-09-02,35374.03993855607
2019-09-03,35462.848297213626
2019-09-04,33724.33105164904
2019-09-05,33273.499433748584
2019-09-06,34193.6785474109
2019-09-07,30081.745543945915
2019-09-08,29050.58905058905
2019-09-09,34355.26315789474
2019-09-10,34655.806182121974
2019-09-11,35329.72972972973
2019-09-12,35255.33536585366
2019-09-13,29379.415347137634
2019-09-14,28667.971298108285
2019-09-15,28188.90633176348
2019-09-16,33232.21180364038
2019-09-17,32957.52895752896
2019-09-18,32429.414922168547
2019-09-19,31505.02742230348
2019-09-20,30595.949855351973
2019-09-21,26459.68882602546
2019-09-22,25837.464251668258
2019-09-23,29953.846153846152
2019-09-24,30100.545950864424
2019-09-25,30714.98107084911
2019-09-26,31161.894273127753
2019-09-27,31250.25025025025
2019-09-28,28161.34648868253
2019-09-29,27927.50809061489
2019-09-30,28506.32911392405
2019-10-01,31911.971830985916
2019-10-02,33305.555555555555
2019-10-03,33692.9203539823
2019-10-04,33667.174409748666
2019-10-05,32440.256045519207
2019-10-06,28026.62721893491
2019-10-07,32878.33037300177
2019-10-08,32937.92581377744
2019-10-09,32351.686166551965
2019-10-10,27812.5
2019-10-11,27177.360774818404
2019-10-12,26957.93064241046
2019-10-13,26369.90291262136
2019-10-14,30893.20388349514
2019-10-15,30522.208883553423
2019-10-16,30321.917808219176
2019-10-17,30185.111989459816
2019-10-18,30175.658720200754
2019-10-19,26436.223081170625
2019-10-20,25228.881278538815
2019-10-21,29211.893369788104
2019-10-22,30039.49447077409
2019-10-23,30279.647435897434
2019-10-24,30340.729001584787
2019-10-25,30137.527432333576
2019-10-26,26508.547008547008
2019-10-27,25717.877094972064
2019-10-28,30196.721311475412
2019-10-29,29629.01155327343
2019-10-30,29705.83468395462
2019-10-31,30071.900826446283
2019-11-01,30328.7037037037
2019-11-02,26705.138339920948
2019-11-03,25736.644093303235
2019-11-04,29183.277027027023
2019-11-05,29237.393328161364
2019-11-06,29431.33802816901
2019-11-07,29611.681136543015
2019-11-08,28903.658536585368
2019-11-09,25903.631284916202
2019-11-10,24718.011409942952
2019-11-11,28626.984126984127
2019-11-12,29297.716150081567
2019-11-13,29357.651245551602
2019-11-14,28959.09090909091
2019-11-15,28772.60273972603
2019-11-16,26077.424612876937
2019-11-17,25364.348677766895
2019-11-18,29314.671814671816
2019-11-19,28746.770025839793
2019-11-20,28924.805531547107
2019-11-21,29515.27093596059
2019-11-22,29514.910536779324
2019-11-23,26783.300198807156
2019-11-24,25582.197273456295
2019-11-25,29333.003952569175
2019-11-26,29279.39876215738
2019-11-27,29318.256578947367
2019-11-28,28605.02092050209
2019-11-29,28480.260285474393
2019-11-30,25845.094664371776
2019-12-01,24836.113125453227
2019-12-02,27940.274414850683
2019-12-03,28150.134048257376
2019-12-04,28477.611940298502
2019-12-05,28704.653371320037
2019-12-06,28571.548117154816
2019-12-07,25829.029385574355
2019-12-08,24752.931323283083
2019-12-09,28208.62676056338
2019-12-10,28446.654611211572
2019-12-11,28389.184397163124
2019-12-12,28411.374407582938
2019-12-13,28358.81294964029
2019-12-14,25676.818950930625
2019-12-15,24713.532513181017
2019-12-16,28858.499525166193
2019-12-17,29230.06416131989
2019-12-18,29086.68453976765
2019-12-19,28957.129543336436
2019-12-20,28574.023614895552
2019-12-21,26339.56969130028
2019-12-22,25111.51736745887
2019-12-23,28776.145203111493
2019-12-24,29005.300353356888
2019-12-25,28966.265060240963
2019-12-26,28946.761313220944
2019-12-27,27877.391304347824
2019-12-28,25358.80933226066
2019-12-29,24998.275862068967
2019-12-30,27986.642920747996
2019-12-31,27353.873239436623
2020-01-01,25340.599455040872
2020-01-02,28234.647112740608
2020-01-03,28286.78929765886
2020-01-04,25589.0218156228
2020-01-05,24767.46323529412
2020-01-06,28632.730732635588
2020-01-07,29144.600938967134
2020-01-08,28556.045895851723
2020-01-09,28727.522935779816
2020-01-10,28481.86528497409
2020-01-11,25335.526315789477
2020-01-12,24845.659163987137
2020-01-13,28646.098003629766
2020-01-14,28794.936708860765
2020-01-15,28433.249370277077
2020-01-16,28702.960840496653
2020-01-17,28186.5671641791
2020-01-18,26067.65676567657
2020-01-19,25318.906605922548
2020-01-20,27971.001757469243
2020-01-21,27525.337837837837
2020-01-22,25739.73509933775
2020-01-23,23534.834623504572
2020-01-24,21539.270253555966
2020-01-25,21027.23505032563
2020-01-26,21179.364127174562
2020-01-27,21711.6060961313
2020-01-28,22817.613991255464
2020-01-29,23992.011619462603
2020-01-30,26333.62676056338
2020-01-31,26720.985691573926
2020-02-01,25215.165262475697
2020-02-02,24807.486631016043
2020-02-03,27963.74829001368
2020-02-04,28437.55383290267
2020-02-05,28391.270459859705
2020-02-06,28484.255319148935
2020-02-07,28282.282282282285
2020-02-08,25631.652661064425
2020-02-09,25158.238172920064
2020-02-10,28286.870503597125
2020-02-11,28660.73018699911
2020-02-12,28541.34697357204
2020-02-13,29087.813620071684
2020-02-14,29190.654205607476
2020-02-15,27765.523632993514
2020-02-16,25062.264150943396
2020-02-17,28296.2962962963
2020-02-18,28422.74247491639
2020-02-19,28372.61146496815
2020-02-20,28624.31444241316
2020-02-21,28526.363636363636
2020-02-22,26042.52303330971
2020-02-23,25064.343163538873
2020-02-24,28836.206896551725
2020-02-25,29198.1308411215
2020-02-26,29457.674418604653
2020-02-27,28374.249499666443
2020-02-28,26352.84683239775
2020-02-29,25675.20585544373
2020-03-01,24984.198645598197
2020-03-02,28556.325823223575
2020-03-03,29192.669172932332
2020-03-04,28864.823348694317
2020-03-05,28599.999999999996
2020-03-06,28558.84995507637
2020-03-07,26177.009873060648
2020-03-08,25555.975794251135
2020-03-09,29655.268022181146
2020-03-10,28586.618181818183
2020-03-11,28525.854513584578
2020-03-12,29342.13098729228
2020-03-13,29172.31638418079
2020-03-14,25797.03304113284
2020-03-15,24838.54907539118
2020-03-16,27991.289198606275
2020-03-17,28755.031228313674
